iteration,loss
8,0.08289936943808726
19,0.07812715685398493
30,0.0734296930129583
40,0.06926069033121669
51,0.0648616695158214
63,0.060493083419887995
75,0.056276046394781315
87,0.05245273678750726
98,0.04943518617968684
101,0.04862006161598709
112,0.04568268208371839
124,0.04303887411393605
136,0.04037673571202612
149,0.03799482783773626
161,0.03579996809082052
172,0.03398749521588214
184,0.03214478991009271
196,0.030311205096247767
201,0.029778463411771646
213,0.028154826595418767
224,0.02692875736928104
235,0.02585463096985536
246,0.024675619356337317
258,0.023590231975955774
270,0.02274346280269477
282,0.021863325012036233
293,0.02098307185126156
301,0.020508213746029156
312,0.01990601784601517
324,0.019256946675897522
336,0.018587058741935527
347,0.018014766148106036
358,0.017460255072342685
369,0.017067712015864274
381,0.016521951337259654
393,0.01607657744994341
401,0.0157858288085717
413,0.015456074497001588
426,0.014973606460599267
437,0.014631874210467532
448,0.014446429876282849
459,0.014161704564756477
472,0.013818689497814552
485,0.013614408711715199
496,0.013391396312495616
501,0.013274791196642316
513,0.013116147770143855
525,0.01299878875296797
537,0.012771878024397068
550,0.012569585454523649
563,0.012413856543950283
575,0.012411151947983224
586,0.012245003855224023
598,0.012279747656450218
601,0.01222984738350333
612,0.011991159429840897
624,0.011775010963953884
636,0.011538762338135741
648,0.011516838519887078
660,0.011352135369179863
673,0.01125271677889871
685,0.011174695561664862
697,0.011101489417593069
701,0.011078620239081237
713,0.010915954689093286
726,0.010826009710440771
738,0.01070717607695582
749,0.01055782631411471
761,0.01053999047394568
772,0.010598258948818787
784,0.01048222530354932
798,0.010540832635145526
801,0.010502285517253752
813,0.010366267961229862
825,0.010395633918968996
837,0.010224577765355451
849,0.010146946620474955
861,0.010157203919111768
873,0.010245185718682666
885,0.010291434884877963
896,0.010257496535204486
901,0.010152655891296119
913,0.01006263431053843
925,0.010065326537906791
937,0.009959429000114576
949,0.009928191318459822
961,0.009988062032092179
973,0.009949855426330357
985,0.009884940832523392
997,0.009885853104001668
1001,0.009834550317153086
1013,0.009658618685396601
1024,0.009604176020311508
1036,0.0095977096266524
1049,0.009544974449457903
1061,0.009409879792796132
1073,0.009404609458962885
1085,0.00935453002583813
1098,0.009354145808305509
1101,0.009323045083684482
1112,0.009278201365899628
1122,0.00912665961874686
1134,0.009027153332541555
1146,0.009051388714632137
1157,0.008974805518046951
1170,0.009045639134075701
1182,0.009004998531461283
1194,0.008970306357292023
1201,0.008899148308359387
1213,0.008848007702946635
1225,0.00883561065347575
1237,0.008867034803276176
1249,0.008875448134333542
1262,0.008906560091291961
1273,0.008886681675097397
1285,0.008773852422275272
1297,0.008740027030294516
1301,0.008720572737581077
1313,0.008737820196357386
1325,0.008718898410271982
1337,0.008633509349490531
1348,0.008655929996354497
1360,0.008657524113023524
1372,0.00857035229993277
1385,0.008509436027682008
1397,0.00839269898801638
1401,0.008389819996424637
1414,0.00845912316675574
1426,0.008339046141583983
1438,0.008321249307634709
1450,0.008314998691956389
1463,0.008306568098537368
1476,0.008308784904868898
1488,0.008291640794055656
1500,0.00834441396327405
1512,0.008272664885495454
1524,0.00815422250316274
1536,0.008101427220814528
1547,0.008133067964303136
1559,0.008039502372383473
1570,0.008077659355138746
1582,0.008044515895211447
1594,0.007995386078711104
1601,0.007916635992065426
1613,0.007955267192815406
1625,0.008036078221063015
1637,0.008046009342827473
1650,0.007982746623313167
1662,0.007919536596025529
1674,0.00791015171876291
1685,0.007990189327321737
1697,0.007901331379970794
1701,0.00788550680394503
1713,0.007800477247382292
1725,0.007801556642383919
1738,0.007792683081470628
1750,0.007753737292811072
1762,0.007822530753901444
1774,0.00778355781660342
1786,0.007670509017342226
1798,0.00764557114897847
1801,0.007642465825095378
1812,0.007585627701129833
1824,0.007569084210953119
1836,0.007559078192921334
1849,0.007607298451777444
1862,0.007535678553567846
1874,0.007526574140221168
1886,0.0075949232980806825
1898,0.00757844171251616
1901,0.007593551796528668
1912,0.0075047070505556415
1924,0.007423242454585874
1936,0.0073860380936555834
1948,0.0074154319524833935
1960,0.007494620395804089
1973,0.007386271803900873
1985,0.007335147886236898
1998,0.0073038775403587285
2001,0.0072886356511263255
2013,0.007273545034851299
2026,0.007210090204773547
2039,0.007183656165228149
2050,0.007183097957672935
2062,0.007209462638930168
2075,0.007212691666376024
2087,0.0072170165957428905
2099,0.007181460597159339
2111,0.007171412510345374
2123,0.007206160693895857
2134,0.007181043938511876
2146,0.007135089265622744
2158,0.007125950458202385
2170,0.007128041714646009
2181,0.00713040719210109
2193,0.0070815838398139135
2201,0.007067763437304744
2213,0.007022440168718203
2225,0.006980897428583858
2238,0.006938845506536955
2251,0.006979217655314502
2263,0.007014409210806203
2274,0.006998404472694662
2286,0.0069314803711278865
2298,0.006902677749787081
2301,0.006909065079673156
2311,0.006904112912110908
2322,0.0069327437987294575
2334,0.006877347637170109
2346,0.006819888404099448
2359,0.006821479936950204
2371,0.0067913611619340045
2383,0.00673884280661321
2394,0.006716138316148441
2401,0.006767389052282134
2413,0.006719398608450705
2425,0.006662845591996111
2436,0.006697744530497049
2447,0.006762842123956954
2459,0.006711619055600365
2470,0.006709023997181254
2480,0.006781581408672487
2491,0.006825152060073624
2501,0.006761168100756436
2512,0.006783442919785436
2524,0.006722472533818704
2536,0.006745945396942016
2549,0.006776065160486472
2560,0.006735942312730259
2571,0.006687692073346801
2583,0.006712915031804351
2595,0.0067494640808997445
2601,0.006786806363240166
2613,0.006781673055424365
2623,0.006778649327604926
2635,0.0066738515625709705
2647,0.006637154002991695
2659,0.006689101339435353
2671,0.006755831702672287
2682,0.006657252151483795
2694,0.0065862617065406345
2701,0.006515528634248405
2713,0.006478377672214799
2725,0.0064895133881390475
2737,0.00647786799043867
2749,0.00650536113747226
2761,0.006536925407703033
2772,0.006574622246986125
2784,0.006535589768889441
2796,0.006446644177898234
2801,0.006386546193748335
2813,0.006398166378140416
2824,0.006360130107233107
2836,0.006282053232430338
2848,0.006269760987210765
2861,0.006261333254274451
2874,0.006263779446724496
2886,0.006262415875401925
2898,0.006269647022111676
2901,0.006282754256050678
2913,0.006292119467645824
2925,0.00630169582173045
2936,0.006290849541972605
2947,0.006283953564814428
2959,0.0062091173348308056
2971,0.0061836695478490866
2983,0.0061278818183730455
2995,0.006071506324449747
3001,0.00605949046660235
3013,0.006134987167941597
3025,0.006146206376899618
3036,0.006137671421664175
3048,0.0060235594008030465
3060,0.006086322299664222
3071,0.006126677108414699
3082,0.006095863618945627
3094,0.006139810266267481
3101,0.006234905671771386
3113,0.006166444137315865
3125,0.006181554075714485
3138,0.006128939987087981
3150,0.006127750125217092
3163,0.006144136397926977
3176,0.006110076014576812
3187,0.006167844353496208
3199,0.0061470746592258586
3211,0.006198933242998389
3223,0.0061798632217595455
3236,0.006284269928932969
3248,0.0062469126636312735
3260,0.006359407450772951
3272,0.006292589454021867
3284,0.006298695967470267
3297,0.006298147188648654
3301,0.006270437503587606
3313,0.006208636580411251
3325,0.006188658341527278
3337,0.006184332220636957
3349,0.0062075151697927634
3361,0.00614179843866347
3372,0.006181793698587521
3384,0.006160668422502933
3396,0.006144957788401596
3401,0.006131340893571862
3413,0.00609013238119289
3425,0.006190177563252234
3438,0.006201553012387143
3448,0.006175446162304227
3460,0.006128421165689081
3472,0.006098178801121791
3484,0.006077626055738064
3496,0.0059875648365885084
3501,0.006000273989072498
3512,0.006031561247928147
3524,0.006089868666641537
3537,0.006053352511901305
3549,0.006077949004124005
3562,0.0060788855731011655
3574,0.0060815317260209285
3586,0.006031237337923292
3598,0.005997259049941512
3601,0.00597658154597854
3612,0.005983550095008668
3624,0.005930871124055419
3636,0.005938853089449466
3648,0.005928445661673337
3660,0.006008073977097705
3672,0.006031509078317451
3684,0.0059522644447118425
3696,0.005903752724396545
3701,0.0059425274106810625
3713,0.005953742045197676
3726,0.005920258045000194
3738,0.005972107919421973
3750,0.005959291931647649
3762,0.005924436957573777
3774,0.005982130958304508
3786,0.0059564157968499355
3798,0.005931294331806698
3801,0.00591439009735754
3811,0.00593967674189481
3821,0.0058828624990198385
3832,0.005847200830911466
3843,0.0059270403020481865
3856,0.005880995345941671
3868,0.005870811412866387
3880,0.0058477166731889145
3892,0.00588074072850147
3901,0.005891166882083682
3913,0.005828687717585148
3925,0.005883922782103627
3937,0.005910295630937886
3949,0.005885488061802645
3960,0.005910037079934576
3971,0.00591996583239369
3983,0.005939326250127061
3995,0.005977268243825122
4001,0.005964402111556517
4013,0.0058947233410336815
4025,0.005906658893852949
4038,0.005823547219604325
4050,0.005868864297725003
4062,0.005904764502561388
4075,0.005927651937216436
4087,0.005879044191853447
4098,0.0059060374003598115
4101,0.005885956961359723
4113,0.005861927616175791
4125,0.005820741881602699
4138,0.005798112434295576
4150,0.005826914180206864
4162,0.00579945719143824
4174,0.00583721349709307
4186,0.005821868474372708
4198,0.0058515595984806055
4201,0.005840175081435284
4212,0.005807021438237243
4223,0.005789641234417792
4234,0.005806774650842026
4246,0.005775439217421786
4258,0.005703631563174974
4270,0.0057216721701059585
4282,0.005704155110694183
4293,0.005723672203637678
4301,0.005746203355629417
4562,0.00555822213052077
4580,0.005600922220026037
4597,0.005575613048848248
4601,0.005579218456090072
4619,0.00553475879143148
